text,sentiment,processed_text
@KotaNusantara Semangat Program MBG kasih solusi gizi buat 2 juta orang,1,semangat program mbg kasih solusi gizi buat juta orang
kenapa pada masih maksa jalanin program becanda ini sih berarti beneran peluang korupsinya banyak ya di mbg ini udah banyak yg nolak udah banyak korban keracunan udah banyak makanan basi dan akhirnya jadi sampah makanan mubazir buang² anggaran,1,maksa jalanin program becanda arti beneran peluang korupsi banyak mbg banyak nolak banyak korban racun banyak makan basi akhir jadi sampah makan mubazir anggar
@mamiA5UUUUU @faninanda1 Kiro2 turune mbg sopo ya sam?,1,turune mbg sopo sam
@LeonPriceleon48 Program MBG tetep sampe ke tujuan presiden pastiin semua daerah banjir terpenuhi,0,program mbg tetep sampe tuju presiden pastiin semua daerah banjir penuh
@lyneyslander IM JOKI MBG,0,joki mbg
Pemerintah: hmm.. ide bagus buat mbg ,1,perintah hmm ide bagus buat mbg
@KotaNusantara Indonesia unggul 2045 mari bersiap dari sekarang dengan MBG berkualitas,1,indonesia unggul siap sekarang mbg kualitas
@hexagrap_id Presiden memastikan kita aman dengan program MBG meski ada banjir,0,presiden pasti aman program mbg meski banjir
@AgathaShav70471 Kebijakan MBG bikin warga Papua angkat topi,1,bijak mbg bikin warga papua angkat topi
@narkosun Food waste indonesia sebelum MBG itu peringkat 1 ASEAN dan pernah menduduki peringkat 2 di dunia setelah Saudi. Setelah MBG bisa bisa jadi peringkat 1 dunia.,0,food waste indonesia mbg peringkat asean pernah duduk peringkat dunia saudi mbg jadi peringkat dunia
@AgathaShav70471 Dukungan ini membuat akses pendidikan di Papua semakin fleksibel berkat MBG,1,dukung buat akses didik papua makin fleksibel berkat mbg
@idextratime Heran deh gw katanya efisiendi efisiensi tp mau bangun ini itu anggarannya besar2 hutang negara udh jatoh tempo MBG mulai dikorupsi ( eh dipangkas deh ) dri 10 rb ke 8 rb. Ini sebenernya mau bikin ladang korupsi dmana2 apa bener2 murni utk ra,0,heran kata efisiendi efisiensi mau bangun anggar hutang negara jatoh tempo mbg mulai korupsi pangkas dri sebenernya mau bikin ladang korupsi apa murni utk
@sasyine Sama mbg gaada gizinya yg ada diabetes ,0,sama mbg gaada gizi diabetes
