text,sentiment,processed_text
@tatakhoiriyah MBG di potong,0,mbg potong
Berhubung sekolah anakku udah dapet MBG dan bulan puasa ini dibawa pulang lucu juga kali ya bikin review buat kenang2an Here it is menu Makan Bergizi Gratis di sebuah SD yang muridnya hari2 dianter jemput pake mobil/motor (maap tp kurang tepat sasaran) #udahsaltyajagweh,1,hubung sekolah anak dapet mbg bulan puasa bawa pulang lucu kali bikin review buat here menu makan gizi gratis buah murid anter jemput pake mobil motor maap kurang tepat sasar
@KotaNusantara Puasa sehat bareng MBG dukung pertumbuhan anak dengan gizi seimbang,0,puasa sehat bareng mbg dukung tumbuh anak gizi imbang
Susu Hingga Kurma Di MBG #MakanBergiziGratisRamadhan https://t.co/lzcX28cpTo,0,susu hingga kurma mbg
@KotaNusantara Sorotan Ramadan dari MBG semuanya demi kebaikan dan kesehatan anak,0,sorot ramadan mbg semua baik sehat anak
@KotaNusantara Gizi aman puasa lancar semua karena MBG setia di sana,0,gizi aman puasa lancar semua mbg setia sana
@KotaNusantara MBG siap bangun semangat puasa anak lewat menu gizi yang lezat,0,mbg siap bangun semangat puasa anak lewat menu gizi lezat
@detikcom Mbg program nasional milik brabowo ngapain pemda yg disuruh bikin dapur,0,mbg program nasional milik brabowo ngapain pemda suruh bikin dapur
@MrsSylus @prabowo KM PIKIR ITU BS JD MENU MBG KH ,0,pikir menu mbg
@PNS_Ababil Kasihan kalian jadi korban pemotongan anggaran gendut tapi diatas foya foya alasan MBG nyatanya 3/4 nya untuk danantara yg tidak ada dlm RAPBN bahkan tidak ada dlm APBN,0,kasihan kalian jadi korban potong anggar gendut atas foya foya alas mbg nyata danantara dlm rapbn bahkan dlm apbn
@trisulis98 @barengwarga Ahli gizi apa ga menangesss liat MBG kayak gini isinya mbak,0,ahli gizi apa menangess liat mbg seperti gin isi mbak
Ngomong mencla mencle Kenapa? Gak cukup anggaran? KPK Terima Laporan MBG Dipangkas Jadi Rp8 Ribu Istana: Harga Makanan Bersifat Actual Cost https://t.co/ctTvqMzxHa lewat @tribunnews,1,ngomong mencla mencle tidak cukup anggar kpk terima lapor mbg pangkas jadi ribu istana harga makan sifat actual cost lewat
@barengwarga @prabowo Kalau nanya orang pemda/dinas anggaran yang paling gampang dikorupsi ya makan minum maka lahirlah mbg,0,nanya orang pemda dinas anggar paling gampang korupsi makan minum lahir mbg
